ID,pointID,Site,rank,ForestType,FullName,LongitudeDecimal,LatitudeDecimal,SampleYear,SampleMonth,ContryName,PlatArea (ha),p50,p88,HSM_p50,HSM_p88,Psi_min,P_tlp,p50_SamplePeriod,Psi_min_SamplePeriod,source,MCWD,hydraulic traits sampled or compiled?,original source,species,doi,Note
1,1,ALP2,1,Aseasonal,,-73.4399997,-3.95000028,2017,10,PERU,0.44,-1.44,-2.26,0.72,1.56,-0.71,,17-Oct,17-Oct,Tavares_et_al_2023,-23.27687769,sampled,,,,
1,2,ALP2,1,Aseasonal,,-73.43979207,-3.94999467,2017,10,PERU,0.44,-1.44,-2.26,0.72,1.56,-0.71,,17-Oct,17-Oct,Tavares_et_al_2023,-23.27687769,sampled,,,,
1,3,ALP2,1,Aseasonal,,-73.44000278,-3.94981488,2017,10,PERU,0.44,-1.44,-2.26,0.72,1.56,-0.71,,17-Oct,17-Oct,Tavares_et_al_2023,-23.27687769,sampled,,,,
1,4,ALP2,1,Aseasonal,,-73.44026569,-3.95000627,2017,10,PERU,0.44,-1.44,-2.26,0.72,1.56,-0.71,,17-Oct,17-Oct,Tavares_et_al_2023,-23.27687769,sampled,,,,
1,5,ALP2,1,Aseasonal,,-73.43999698,-3.95021698,2017,10,PERU,0.44,-1.44,-2.26,0.72,1.56,-0.71,,17-Oct,17-Oct,Tavares_et_al_2023,-23.27687769,sampled,,,,
2,6,ALP1,1,Aseasonal,,-73.42999786,-3.95000531,2017,10,PERU,0.48,-1.97,-3.28,1.02,2.33,-0.96,,17-Oct,17-Oct,Tavares_et_al_2023,-23.1076032,sampled,,,,
2,7,ALP1,1,Aseasonal,,-73.42978813,-3.95000796,2017,10,PERU,0.48,-1.97,-3.28,1.02,2.33,-0.96,,17-Oct,17-Oct,Tavares_et_al_2023,-23.1076032,sampled,,,,
2,8,ALP1,1,Aseasonal,,-73.43000317,-3.94982743,2017,10,PERU,0.48,-1.97,-3.28,1.02,2.33,-0.96,,17-Oct,17-Oct,Tavares_et_al_2023,-23.1076032,sampled,,,,
2,9,ALP1,1,Aseasonal,,-73.4299899,-3.95022566,2017,10,PERU,0.48,-1.97,-3.28,1.02,2.33,-0.96,,17-Oct,17-Oct,Tavares_et_al_2023,-23.1076032,sampled,,,,
2,10,ALP1,1,Aseasonal,,-73.43022352,-3.95001327,2017,10,PERU,0.48,-1.97,-3.28,1.02,2.33,-0.96,,17-Oct,17-Oct,Tavares_et_al_2023,-23.1076032,sampled,,,,
3,11,CAX,1,Inter DSL,,-51.45000117,-1.70999799,2016,10,BRAZIL,0.81,-2.18,-4.17,-0.32,1.66,-2.51,,Sep/Oct-2016,Sep/Oct-2016,Tavares_et_al_2023,-256.0901071,compiled,Bittencourt et al 2020,,,
3,12,CAX,1,Inter DSL,,-51.44970549,-1.70999351,2016,10,BRAZIL,0.81,-2.18,-4.17,-0.32,1.66,-2.51,,Sep/Oct-2016,Sep/Oct-2016,Tavares_et_al_2023,-256.0901071,compiled,Bittencourt et al 2020,,,
3,13,CAX,1,Inter DSL,,-51.45001117,-1.70975305,2016,10,BRAZIL,0.81,-2.18,-4.17,-0.32,1.66,-2.51,,Sep/Oct-2016,Sep/Oct-2016,Tavares_et_al_2023,-256.0901071,compiled,Bittencourt et al 2020,,,
3,14,CAX,1,Inter DSL,,-51.44998838,-1.71023726,2016,10,BRAZIL,0.81,-2.18,-4.17,-0.32,1.66,-2.51,,Sep/Oct-2016,Sep/Oct-2016,Tavares_et_al_2023,-256.0901071,compiled,Bittencourt et al 2020,,,
3,15,CAX,1,Inter DSL,,-51.45030739,-1.7100037,2016,10,BRAZIL,0.81,-2.18,-4.17,-0.32,1.66,-2.51,,Sep/Oct-2016,Sep/Oct-2016,Tavares_et_al_2023,-256.0901071,compiled,Bittencourt et al 2020,,,
4,16,FEC,1,Inter DSL,,-67.61669678,-10.06670471,2017,8,BRAZIL,1,-2.26,-3.85,-0.32,1.33,-2.62,,17-Apr,July/Aug-2017,Tavares_et_al_2023,-288.7350259,sampled,,,,
4,17,FEC,1,Inter DSL,,-67.61640519,-10.0666983,2017,8,BRAZIL,1,-2.26,-3.85,-0.32,1.33,-2.62,,17-Apr,July/Aug-2017,Tavares_et_al_2023,-288.7350259,sampled,,,,
4,18,FEC,1,Inter DSL,,-67.61670639,-10.06642913,2017,8,BRAZIL,1,-2.26,-3.85,-0.32,1.33,-2.62,,17-Apr,July/Aug-2017,Tavares_et_al_2023,-288.7350259,sampled,,,,
4,19,FEC,1,Inter DSL,,-67.61670378,-10.0669921,2017,8,BRAZIL,1,-2.26,-3.85,-0.32,1.33,-2.62,,17-Apr,July/Aug-2017,Tavares_et_al_2023,-288.7350259,sampled,,,,
4,20,FEC,1,Inter DSL,,-67.61704017,-10.06670264,2017,8,BRAZIL,1,-2.26,-3.85,-0.32,1.33,-2.62,,17-Apr,July/Aug-2017,Tavares_et_al_2023,-288.7350259,sampled,,,,
5,21,MAN,1,Inter DSL,,-60.19999678,-2.59999931,2016,8,BRAZIL,1,-2.07,-3.3,0.59,1.81,-1.48,,15-Aug,16-Aug,Tavares_et_al_2023,-184.2566168,compiled,Barros et. al 2019,,,
5,22,MAN,1,Inter DSL,,-60.19966674,-2.5999861,2016,8,BRAZIL,1,-2.07,-3.3,0.59,1.81,-1.48,,15-Aug,16-Aug,Tavares_et_al_2023,-184.2566168,compiled,Barros et. al 2019,,,
5,23,MAN,1,Inter DSL,,-60.20000998,-2.59967807,2016,8,BRAZIL,1,-2.07,-3.3,0.59,1.81,-1.48,,15-Aug,16-Aug,Tavares_et_al_2023,-184.2566168,compiled,Barros et. al 2019,,,
5,24,MAN,1,Inter DSL,,-60.19998358,-2.60030734,2016,8,BRAZIL,1,-2.07,-3.3,0.59,1.81,-1.48,,15-Aug,16-Aug,Tavares_et_al_2023,-184.2566168,compiled,Barros et. al 2019,,,
5,25,MAN,1,Inter DSL,,-60.20032242,-2.59999931,2016,8,BRAZIL,1,-2.07,-3.3,0.59,1.81,-1.48,,15-Aug,16-Aug,Tavares_et_al_2023,-184.2566168,compiled,Barros et. al 2019,,,
6,26,TAM,1,Inter DSL,,-69.30000205,-12.79999537,2017,9,PERU,1,-1.54,-2.57,-0.01,1.04,-1.52,,Jan/Feb-2017,17-Sep,Tavares_et_al_2023,-195.2607285,sampled,,,,
6,27,TAM,1,Inter DSL,,-69.29968769,-12.7999929,2017,9,PERU,1,-1.54,-2.57,-0.01,1.04,-1.52,,Jan/Feb-2017,17-Sep,Tavares_et_al_2023,-195.2607285,sampled,,,,
6,28,TAM,1,Inter DSL,,-69.29999462,-12.79970577,2017,9,PERU,1,-1.54,-2.57,-0.01,1.04,-1.52,,Jan/Feb-2017,17-Sep,Tavares_et_al_2023,-195.2607285,sampled,,,,
6,29,TAM,1,Inter DSL,,-69.29998905,-12.80028127,2017,9,PERU,1,-1.54,-2.57,-0.01,1.04,-1.52,,Jan/Feb-2017,17-Sep,Tavares_et_al_2023,-195.2607285,sampled,,,,
6,30,TAM,1,Inter DSL,,-69.30035648,-12.79999507,2017,9,PERU,1,-1.54,-2.57,-0.01,1.04,-1.52,,Jan/Feb-2017,17-Sep,Tavares_et_al_2023,-195.2607285,sampled,,,,
7,31,NVX,2,Long DSL,,-52.16799773,-14.83300007,2016,8,BRAZIL,0.6,-2.95,-4.1,-1,0.15,-3.95,,17-Mar,"Aug-2016, Aug/Sep-2017",Tavares_et_al_2023,-643.3014819,compiled,Jancoski et al. (unplublished) ,,,https://onlinelibrary.wiley.com/doi/10.1111/btp.13064
