sampleID,plotID,sampleLon,sampleLat,FC
1,1,-73.4399997,-3.95000028,100
2,1,-73.43979207,-3.94999467,100
3,1,-73.44000278,-3.94981488,100
4,1,-73.44026569,-3.95000627,98
5,1,-73.43999698,-3.95021698,100
6,2,-73.42999786,-3.95000531,100
7,2,-73.42978813,-3.95000796,100
8,2,-73.43000317,-3.94982743,100
9,2,-73.4299899,-3.95022566,100
10,2,-73.43022352,-3.95001327,100
11,3,-51.45000117,-1.70999799,100
12,3,-51.44970549,-1.70999351,100
13,3,-51.45001117,-1.70975305,100
14,3,-51.44998838,-1.71023726,100
15,3,-51.45030739,-1.7100037,100
16,4,-67.61669678,-10.06670471,100
17,4,-67.61640519,-10.0666983,100
18,4,-67.61670639,-10.06642913,100
19,4,-67.61670378,-10.0669921,100
20,4,-67.61704017,-10.06670264,97
21,5,-60.19999678,-2.59999931,100
22,5,-60.19966674,-2.5999861,100
23,5,-60.20000998,-2.59967807,100
24,5,-60.19998358,-2.60030734,100
25,5,-60.20032242,-2.59999931,100
26,6,-69.30000205,-12.79999537,100
27,6,-69.29968769,-12.7999929,100
28,6,-69.29999462,-12.79970577,100
29,6,-69.29998905,-12.80028127,100
30,6,-69.30035648,-12.79999507,100
31,7,-52.16799773,-14.83300007,93
32,7,-52.16778299,-14.83300474,93
33,7,-52.16799773,-14.83281335,95
34,7,-52.16799306,-14.83322881,93
35,7,-52.16824048,-14.83300474,95
36,8,-72.89999976,-3.29999504,98
37,8,-72.89968466,-3.29999504,98
38,8,-72.89999713,-3.2997272,93
39,8,-72.8999909,-3.30025976,97
40,8,-72.90032733,-3.29999717,98
41,9,-62.72999797,-16.0199992,100
42,9,-62.72965871,-16.02000151,100
43,9,-62.72999797,-16.01974534,100
44,9,-62.72998037,-16.02024788,100
45,9,-62.73030131,-16.02002069,100
