sampleID,sampleLon,sampleLat,FC
1,-69.8000000000007,-1.79999999999997,100
2,-38.7000000000007,-8.29999999999996,7
3,-51.8000000000008,-18,0
4,-61.400000000001,-16.2999999999999,81
5,-54.8000000000009,-6.49999999999997,100
6,-69.5000000000007,-6.59999999999997,100
7,-40.3000000000007,-9.09999999999996,0
8,-68.4000000000008,4.50000000000003,100
9,-36.5000000000006,-9.89999999999996,0
10,-46.7000000000008,-18.9,51
11,-57.4000000000009,-10.6,100
12,-49.9000000000008,-9.89999999999996,90
13,-67.7000000000008,-10.5,0
14,-68.7000000000008,1.60000000000003,100
15,-75.3000000000004,-8.19999999999996,100
16,-55.6000000000009,-8.89999999999996,100
17,-54.7000000000009,-3.19999999999998,100
18,-67.6000000000008,-5.09999999999997,100
19,-63.900000000001,-14.9999999999999,51
20,-56.6000000000009,-17.6,59
21,-74.7000000000004,9.90000000000001,60
22,-64.600000000001,10,NaN
23,-65.200000000001,-13.5999999999999,0
24,-63.700000000001,-15.1999999999999,97
25,-61.500000000001,-10.7,100
26,-72.6000000000005,-2.49999999999998,100
27,-65.000000000001,0.700000000000026,100
28,-73.4000000000005,-7.49999999999996,100
29,-62.900000000001,-15.9999999999999,97
30,-71.5000000000006,8.60000000000001,97
31,-66.3000000000009,6.20000000000002,100
32,-68.5000000000008,-12.0999999999999,100
33,-68.4000000000008,-12.7999999999999,100
34,-59.500000000001,4.00000000000003,0
35,-51.7000000000008,-17.1999999999999,0
36,-74.1000000000004,-1.69999999999997,99
37,-51.2000000000008,3.60000000000003,97
38,-57.1000000000009,-8.69999999999996,100
39,-68.5000000000008,-21.6,0
40,-75.5000000000004,-6.29999999999997,100
41,-56.2000000000009,-23.5,98
42,-75.4000000000004,1.50000000000003,97
43,-73.1000000000005,-14.7999999999999,0
44,-48.7000000000008,-5.39999999999997,0
45,-61.000000000001,-14.7999999999999,100
46,-76.2000000000003,9.00000000000001,0
47,-54.3000000000009,-7.99999999999996,100
48,-76.3000000000003,-0.199999999999974,100
49,-48.9000000000008,-17.9,0
50,-56.0000000000009,-5.39999999999997,97
51,-63.000000000001,7.00000000000002,0
52,-72.5000000000005,-4.29999999999998,100
53,-56.1000000000009,-11.6999999999999,0
54,-47.2000000000008,-2.89999999999998,97
55,-73.9000000000005,-16.0999999999999,0
56,-51.0000000000008,1.50000000000003,100
57,-69.8000000000007,-11.7999999999999,100
58,-53.4000000000009,-13.9999999999999,0
59,-55.1000000000009,-16.4999999999999,82
60,-70.2000000000007,11.7,NaN
61,-59.000000000001,0.300000000000026,97
62,-61.700000000001,-21.1,37
63,-56.3000000000009,-2.09999999999997,30
64,-70.6000000000006,7.90000000000001,0
65,-49.8000000000008,-10.5,73
66,-66.6000000000009,-3.69999999999998,100
67,-75.3000000000004,-6.99999999999997,100
68,-56.4000000000009,-4.99999999999997,100
69,-68.4000000000008,-12.0999999999999,100
70,-52.6000000000009,-13.6999999999999,82
71,-41.6000000000007,-12.9999999999999,0
72,-52.1000000000009,-13.5999999999999,0
73,-59.000000000001,-21.3,52
74,-43.8000000000007,-9.09999999999996,79
75,-51.4000000000008,-2.09999999999997,100
76,-60.900000000001,-11.3,98
77,-57.6000000000009,6.30000000000002,0
78,-43.9000000000007,-4.99999999999997,95
79,-76.8000000000003,-4.19999999999998,100
80,-73.1000000000005,2.40000000000003,100
81,-73.9000000000005,-5.09999999999997,100
82,-61.300000000001,-14.9999999999999,99
83,-46.5000000000008,-2.79999999999998,100
84,-51.9000000000009,-23.3,0
85,-55.9000000000009,0.700000000000026,100
86,-35.3000000000006,-6.69999999999997,0
87,-45.6000000000008,-20.4,0
88,-75.9000000000003,3.30000000000003,95
89,-71.1000000000006,2.70000000000003,100
90,-51.0000000000008,-22.9,21
91,-80.1000000000001,-4.89999999999997,18
92,-51.1000000000008,2.10000000000003,100
93,-52.7000000000009,-14.0999999999999,0
94,-66.7000000000009,-11.5,100
95,-39.4000000000007,-3.19999999999998,95
96,-57.0000000000009,-20.1,98
97,-62.200000000001,-22.7,60
98,-48.5000000000008,-8.09999999999996,0
99,-62.800000000001,-13.2999999999999,100
100,-69.7000000000007,-21.1,0
