sampleID,plotID,sampleLon,sampleLat
1,1,-73.4399997,-3.95000028
2,1,-73.43979207,-3.94999467
3,1,-73.44000278,-3.94981488
4,1,-73.44026569,-3.95000627
5,1,-73.43999698,-3.95021698
6,2,-73.42999786,-3.95000531
7,2,-73.42978813,-3.95000796
8,2,-73.43000317,-3.94982743
9,2,-73.4299899,-3.95022566
10,2,-73.43022352,-3.95001327
11,3,-51.45000117,-1.70999799
12,3,-51.44970549,-1.70999351
13,3,-51.45001117,-1.70975305
14,3,-51.44998838,-1.71023726
15,3,-51.45030739,-1.7100037
16,4,-67.61669678,-10.06670471
17,4,-67.61640519,-10.0666983
18,4,-67.61670639,-10.06642913
19,4,-67.61670378,-10.0669921
20,4,-67.61704017,-10.06670264
21,5,-60.19999678,-2.59999931
22,5,-60.19966674,-2.5999861
23,5,-60.20000998,-2.59967807
24,5,-60.19998358,-2.60030734
25,5,-60.20032242,-2.59999931
26,6,-69.30000205,-12.79999537
27,6,-69.29968769,-12.7999929
28,6,-69.29999462,-12.79970577
29,6,-69.29998905,-12.80028127
30,6,-69.30035648,-12.79999507
31,7,-52.16799773,-14.83300007
32,7,-52.16778299,-14.83300474
33,7,-52.16799773,-14.83281335
34,7,-52.16799306,-14.83322881
35,7,-52.16824048,-14.83300474
36,8,-72.89999976,-3.29999504
37,8,-72.89968466,-3.29999504
38,8,-72.89999713,-3.2997272
39,8,-72.8999909,-3.30025976
40,8,-72.90032733,-3.29999717
41,9,-62.72999797,-16.0199992
42,9,-62.72965871,-16.02000151
43,9,-62.72999797,-16.01974534
44,9,-62.72998037,-16.02024788
45,9,-62.73030131,-16.02002069
